Plants,Andrena.flavipes,Aphantopus.hyperantus,Argynnis.paphia,Asilidae,Ectophasia,Eristalis.anthopnorina,Eristalis.arbustorum,Eristalis.hirta,Eristalis.interrupta,Eristalis.lineata,Eristalis.similis,Eristalis.tenax,Lasioglossum.calceatum,Lasioglossum.laticeps,Lycaena.virgaureae,Melanargia.galathea,Merodon.aeneus,Merodon.ruficornis,Muscidae,Myathropa.florea,Sphaerophoria.scripta,Syritta.pipiens,Syrphus.vitripennis,Tachinidae,Melitaea.athalia.britomartis,Zygaena.minos.purpuralis,Polistes.nimpha,Volucella.pellucens,Ancylolomia.tentaculella,Apis.mellifera,Bombus.terrestris.complex,Microgasterinae,Osmia.rapunculi,Bombus.lapidarus,Bombus.pratorum,Osmia.cantabrica,Bombus.ruderarius,Lasioglossum.zonulum,Polyommatus.icarus,Scaeva.pyrastri,Limenitis.camilla,Bombus.pascuorum,Episyrphus.balteatus,Helconinae,Argynnis.aglaja,Argynnis.niobe,Epistrophe.grossulariae,Eriothrix.rufomaculata,Eristalis.horticola,Ochlodes.sylvanus,Pimplinae,Pipiza.accola,Sicus.ferrugineus,Thymelicus.sylvestris,Halictus.tumulorum,Melanostoma.mellinum,Calliphoridae,Meliscaeva.cinctella,Panorpidae,Paragus.haemorrhous,Scathophagidae,Stenomicridae,Syrphidae,Bombus.hortorum,Platycheirus.stictus,Eupeodes.lapponicus,Lasioglossum.fulvicorne,Andrena.minutuloides,Banchinae,Campopleginae,Chelosia.vicina,Cynomya.mortuorum,Dolichopodidae,Eristalis.pertinax,Eristalis.pseudorupium,Lasioglossum.lativentre,Litophasia.hyalipennis,Lucilia.caesar,Tenthredo.amoena,Tryphoninae,Bombus.sylvarum,Scaeva.selenitica,Syrphus.torvus,Tephritidae,Adscita.Jodanita.sp,Aglais.io,Bombylidae,Brenthis.ino,Erebia.ligea,Eristalis.jugorum,Lycaena.alciphron,Maniola.jurtina,Merodon.equestris,Polyommatus.dorylas,Pyrgus.alveus.armoricanus,Satyrium.w.album,Volucella.bombylans,Zygaena.filipendulum,Zygaena.lonicerae,Angioneura.acerba,Coenonympha.glycerion,Helophilus.trivittatus,Tenthredo.sp,Osmia.leucomelana,Phengaris.alcon,Trachusa.byssinum,Ichneumoninae,Andrena.congruens,Chelosia.laticornis,Hylaeus.communis,Syrphus.ribesii,Temnostoma.vespiforme,Andrena.dorsata,Lasioglossum.fratellum,Lasioglossum.setulosum,Andrena.hattorfiana,Aglais.urticae,Andrena.coitana,Empididae,Eristalis.gomojunovae,Osmia.florisomnis,Parasyrphus.nigritarsis,Melanostoma.scalare,Andrena.bicolor,Cheloninae,Cylindromyia.pilipes,Halictus.rubicundus,Andrena.wilkella,Parasyrphus.lineolus,Acartophthalmidae,Diptera.sp,Opomyzidae
Pimmaj,0,1,0,2,0,0,1,0,0,6,2,16,0,0,0,0,0,0,8,6,5,0,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polvul,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scacol,0,31,0,0,0,0,1,0,0,4,0,144,2,0,9,32,0,0,0,0,0,0,1,0,1,31,0,5,0,1,21,0,0,1,0,0,0,1,2,0,0,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,6,0,0,0,0,26,1,0,2,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonarv,1,2,0,0,0,1,0,0,0,0,2,59,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Stegra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thypul,0,15,0,0,10,0,0,0,0,0,0,32,0,0,5,0,1,0,1,0,8,0,0,0,0,1,0,0,0,18,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0
Trimon,7,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
Tripra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troeur,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3
Viodec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
